doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.nme.2024.101608,"Composition design and preparation of lithium lead titanate (Li2PbxTi1-xO3, 0.1 &lt; x &lt; 0.9): A novel tritium breeding ceramic",Xinyu Gao; Lizhi Zhao; Jing Wang; Wei Lu; Delin Chu; Weihua Wang,2024,3,38,,101608,101608,journal-article,,https://doi.org/10.1016/j.nme.2024.101608
10.1016/j.nme.2024.101592,Beam-facing material selection for mitigation of residual doses in the HEBT of IFMIF-DONES,Francisco Ogando; Llorenç Macia; Victor Lopez; Ivan Podadera; Daniel Sanchez-Herranz,2024,3,38,,101592,101592,journal-article,,https://doi.org/10.1016/j.nme.2024.101592
10.1016/j.nme.2024.101619,Effect of metal impurities on the adsorption energy of cesium and work function of the cesiated Mo (0 0 1) surface,Heng Li; Xin Zhang; Yuhong Xu; Guangjiu Lei; Sanqiu Liu; Katsuyoshi Tsumori; Haruhisa Nakano; Masaki Osakabe; Mitsutaka Isobe; Shoichi Okamura; Akihiro Shimizu; Kunihiro Ogawa; Hiromi Takahashi; Zilin Cui; Jun Hu; Yiqin Zhu; Xiaolong Li; Huaqing Zheng; Xiaoqiao Liu; Shaofei Geng; Xiaochang Chen; Haifeng Liu; Xianqu Wang; Hai Liu; Changjian Tang,2024,3,38,,101619,101619,journal-article,,https://doi.org/10.1016/j.nme.2024.101619
10.1016/j.nme.2023.101561,Development of the WAter-interface Permeation In Tritium-exposed materIals (Wapiti) tritium experiment and preliminary Eurofer97 results,F. Montupet-Leblond; E. Bernard; S. Feuillastre; S. Garcia-Argote; E.A. Hodille; M. Payet; C. Grisolia,2024,3,38,,101561,101561,journal-article,,https://doi.org/10.1016/j.nme.2023.101561
10.1016/j.nme.2024.101597,Optimization and evaluation of structural and shielding concrete for IFMIF-DONES,Tomasz Piotrowski; María José Martínez-Echevarría Romero; Piotr Prochoń; Mónica López Alonso; Rafał Michalczyk; Armando Arvizu-Montes; Łukasz Ciupiński; Santiago Becerril Jarque; Kazimierz Józefiak; Yuefeng Qiu; Martin Ansorge; Hari Chohan; Magdalena Wojtkowska,2024,3,38,,101597,101597,journal-article,,https://doi.org/10.1016/j.nme.2024.101597
10.1016/j.nme.2024.101598,Effect of W-Cu joining on D transport behavior in plasma-facing components for fusion reactors,Xue-Chun Li; Hai-Shan Zhou; Xin-Dong Pan; Cai-Bin Liu; Zi-Han Tao; Hao-Dong Liu; Guang-Nan Luo,2024,3,38,,101598,101598,journal-article,,https://doi.org/10.1016/j.nme.2024.101598
10.1016/j.nme.2024.101624,Study on irradiation hardening by He+ and subsequent V/self-ion irradiation in V-4Cr-4Ti under near-service conditions,Shoushuai Zhang; Shaoning Jiang; Jianghai Lin; Yuhai Xia; Liping Guo; Pengfei Zheng,2024,3,38,,101624,101624,journal-article,,https://doi.org/10.1016/j.nme.2024.101624
10.1016/j.nme.2023.101569,Assessment on liquid Li fire risk under humid air condition and with heat insulators,Shunsuke Kenjo; Makoto Oyaidzu; Kazuhiro Obata; Kentaro Ochiai; Satoshi Sato,2024,3,38,,101569,101569,journal-article,,https://doi.org/10.1016/j.nme.2023.101569
10.1016/j.nme.2023.101574,Optimization of alumina tritium permeation barrier with consideration of the thickness and the surface coverage,Xin Shen; Yu-Ping Xu; Huai-Zhi Li; Jun Yi; Yi-Ming Lyu; Hai-Shan Zhou; Guang-Nan Luo,2024,3,38,,101574,101574,journal-article,,https://doi.org/10.1016/j.nme.2023.101574
10.1016/j.nme.2023.101570,Neutron irradiation effects on the low cycle thermal fatigue performance of first wall mock-ups,D. Dorow-Gerspach; Th. Loewenhoff; G. Pintsuk; M. Wirtz,2024,3,38,,101570,101570,journal-article,,https://doi.org/10.1016/j.nme.2023.101570
10.1016/j.nme.2023.101567,The effect of ramp heating on the microstructure and surface chemistry of APMT FeCrAl alloy,Rajnikant V. Umretiya; Atharva Chikhalikar; Barret Elward; Tiago A. Moreira; Mark Anderson; Raul B. Rebak; Jessika V. Rojas,2024,3,38,,101567,101567,journal-article,,https://doi.org/10.1016/j.nme.2023.101567
10.1016/j.nme.2024.101613,Microstructure and mechanical performance of W base candidate shielding materials sintered by HIP,Xiang Geng; Qiang Qi; Yubo Cai; Qingjun Zhu; Hai-Shan Zhou; Songlin Liu; Guang-Nan Luo,2024,3,38,,101613,101613,journal-article,,https://doi.org/10.1016/j.nme.2024.101613
10.1016/j.nme.2024.101595,Annealing of hydrogen trap sites in displacement-damaged EUROFER,A. Theodorou; K. Schmid; T. Schwarz-Selinger,2024,3,38,,101595,101595,journal-article,,https://doi.org/10.1016/j.nme.2024.101595
10.1016/j.nme.2024.101604,"Alloying effects of Zr, Nb, Ta, and W on thermodynamic and mechanical properties of TiC based on first-principles calculation",Rongqi Chen; Liang Chen; Qian Wang; Lei Wang; Chaoping Liang,2024,3,38,,101604,101604,journal-article,,https://doi.org/10.1016/j.nme.2024.101604
10.1016/j.nme.2024.101640,Study on damage behavior of the outer horizontal target in the EAST lower divertor after plasma operations,Gang Yao; Xu Shen; Jia-Qin Liu; Xiao-Yong Zhu; Lai–Ma Luo; Yu–Cheng Wu,2024,6,39,,101640,101640,journal-article,,https://doi.org/10.1016/j.nme.2024.101640
