doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.mattod.2020.11.021,3D Printing in alloy design to improve biocompatibility in metallic implants,Indranath Mitra; Susmita Bose; William S. Dernell; Nairanjana Dasgupta; Chrissy Eckstrand; Jim Herrick; Michael J. Yaszemski; Stuart B. Goodman; Amit Bandyopadhyay,2021,5,45,,20-34,,journal-article,,https://doi.org/10.1016/j.mattod.2020.11.021
10.1016/j.mattod.2021.02.015,"Air-stable, earth-abundant molten chlorides and corrosion-resistant containment for chemically-robust, high-temperature thermal energy storage for concentrated solar power",Adam S. Caldwell; Grigorios Itskos; Kenneth H. Sandhage,2021,6,46,,9-17,,journal-article,,https://doi.org/10.1016/j.mattod.2021.02.015
10.1016/j.mattod.2021.02.003,Hollow-grained “Voronoi foam” ceramics with high strength and thermal superinsulation up to 1400 °C,Sa Li; Chang-An Wang; Fuqian Yang; Linan An; Kangpyo So; Ju Li,2021,6,46,,35-43,,journal-article,,https://doi.org/10.1016/j.mattod.2021.02.003
10.1016/j.mattod.2021.02.022,Local chemical fluctuation mediated ductility in body-centered-cubic high-entropy alloys,Yeqiang Bu; Yuan Wu; Zhifeng Lei; Xiaoyuan Yuan; Honghui Wu; Xiaobin Feng; Jiabin Liu; Jun Ding; Yang Lu; Hongtao Wang; Zhaoping Lu; Wei Yang,2021,6,46,,28-34,,journal-article,,https://doi.org/10.1016/j.mattod.2021.02.022
10.1016/j.mattod.2021.02.009,3D-to-2D phase transformation through highly ordered 1D crystals from transition-metal oxides to dichalcogenides,Hyangsook Lee; Yeonchoo Cho; Kwang-Sik Jeong; Taejin Park; Mirine Leem; Wonsik Ahn; Hoijoon Kim; Jung-Hwa Kim; Heegu Kim; Mann-Ho Cho; Eunha Lee; Hyoungsub Kim; Sung Woo Hwang,2021,7,47,,38-44,,journal-article,,https://doi.org/10.1016/j.mattod.2021.02.009
10.1016/j.mattod.2021.07.017,Quasicrystal from the first nuclear explosion is promising new material,Laurie Donaldson,2021,9,48,,2,,journal-article,,https://doi.org/10.1016/j.mattod.2021.07.017
10.1016/j.mattod.2021.04.012,In-situ reduced non-oxidized copper nanoparticles in nanocomposites with extraordinary high electrical and thermal conductivity,C. Muhammed Ajmal; Aby Paul Benny; Wonjae Jeon; Seongkyun Kim; Sung Wng Kim; Seunghyun Baik,2021,9,48,,59-71,,journal-article,,https://doi.org/10.1016/j.mattod.2021.04.012
10.1016/j.mattod.2021.09.009,Precipitates help increase toughness of a structural alloy,Laurie Donaldson,2021,10,49,,3,,journal-article,,https://doi.org/10.1016/j.mattod.2021.09.009
10.1016/j.mattod.2021.04.017,Directional amorphization of covalently-bonded solids: A generalized deformation mechanism in extreme loading,S. Zhao; B. Li; B.A. Remington; C.E. Wehrenberg; H.S. Park; E.N. Hahn; M.A. Meyers,2021,10,49,,59-67,,journal-article,,https://doi.org/10.1016/j.mattod.2021.04.017
10.1016/j.mattod.2021.03.018,Accelerated and conventional development of magnetic high entropy alloys,Varun Chaudhary; Richa Chaudhary; Rajarshi Banerjee; R.V. Ramanujan,2021,10,49,,231-252,,journal-article,,https://doi.org/10.1016/j.mattod.2021.03.018
10.1016/j.mattod.2021.03.020,"Directed energy deposition (DED) additive manufacturing: Physical characteristics, defects, challenges and applications",David Svetlizky; Mitun Das; Baolong Zheng; Alexandra L. Vyatskikh; Susmita Bose; Amit Bandyopadhyay; Julie M. Schoenung; Enrique J. Lavernia; Noam Eliaz,2021,10,49,,271-295,,journal-article,,https://doi.org/10.1016/j.mattod.2021.03.020
10.1016/j.mattod.2021.05.001,Advances in multimetallic alloy-based anodes for alkali-ion and alkali-metal batteries,Xin Wang; Shuai Tang; Wei Guo; Yongzhu Fu; Arumugam Manthiram,2021,11,50,,259-275,,journal-article,,https://doi.org/10.1016/j.mattod.2021.05.001
10.1016/j.mattod.2021.06.002,Enhanced strengthening and hardening via self-stabilized dislocation network in additively manufactured metals,Zan Li; Yinan Cui; Wentao Yan; Di Zhang; Yan Fang; Yujie Chen; Qian Yu; Ge Wang; Heng Ouyang; Chen Fan; Qiang Guo; Ding-Bang Xiong; Shenbao Jin; Gang Sha; Nasr Ghoniem; Ze Zhang; Y. Morris Wang,2021,11,50,,79-88,,journal-article,,https://doi.org/10.1016/j.mattod.2021.06.002
10.1016/j.mattod.2021.04.019,A review of additive manufacturing of metamaterials and developing trends,Junxiang Fan; Lei Zhang; Shuaishuai Wei; Zhi Zhang; Seung-Kyum Choi; Bo Song; Yusheng Shi,2021,11,50,,303-328,,journal-article,,https://doi.org/10.1016/j.mattod.2021.04.019
10.1016/j.mattod.2021.08.001,Deformation behavior of a Co-Cr-Fe-Ni-Mo medium-entropy alloy at extremely low temperatures,Jongun Moon; Elena Tabachnikova; Sergii Shumilin; Tetiana Hryhorova; Yuri Estrin; Jamieson Brechtl; Peter K. Liaw; Wenqing Wang; Karin A. Dahmen; Alireza Zargaran; Jae Wung Bae; Hyeon-Seok Do; Byeong-Joo Lee; Hyoung Seop Kim,2021,11,50,,55-68,,journal-article,,https://doi.org/10.1016/j.mattod.2021.08.001
10.1016/j.mattod.2021.09.023,Stable bismuth-antimony alloy cathode with a conversion-dissolution/deposition mechanism for high-performance zinc batteries,Yuwei Zhao; Feng Jiang; Hu Hong; Donghong Wang; Qing Li; You Meng; Zhaodong Huang; Ying Guo; Xinliang Li; Ao Chen; Rong Zhang; Shaoce Zhang; Johnny C. Ho; Zhenpeng Yao; Weishu Liu; Chunyi Zhi,2021,12,51,,87-95,,journal-article,,https://doi.org/10.1016/j.mattod.2021.09.023
10.1016/j.mattod.2021.10.025,Symbiotic crystal-glass alloys via dynamic chemical partitioning,Ge Wu; Chang Liu; Andrea Brognara; Matteo Ghidelli; Yan Bao; Sida Liu; Xiaoxiang Wu; Wenzhen Xia; Huan Zhao; Jing Rao; Dirk Ponge; Vivek Devulapalli; Wenjun Lu; Gerhard Dehm; Dierk Raabe; Zhiming Li,2021,12,51,,6-14,,journal-article,,https://doi.org/10.1016/j.mattod.2021.10.025
10.1016/j.mattod.2021.09.024,Toward multiscale simulations of tailored microstructure formation in metal additive manufacturing,Joel Berry; Aurélien Perron; Jean-Luc Fattebert; John D. Roehling; Bey Vrancken; Tien T. Roehling; Debra L. Rosas; John A. Turner; Saad A. Khairallah; Joseph T. McKeown; Manyalibo J. Matthews,2021,12,51,,65-86,,journal-article,,https://doi.org/10.1016/j.mattod.2021.09.024
10.1016/j.mattod.2021.10.024,Core-shell metallic alloy nanopillars-in-dielectric hybrid metamaterials with magneto-plasmonic coupling,Jijie Huang; Xin Li Phuah; Luke Mitchell McClintock; Prashant Padmanabhan; K.S.N. Vikrant; Han Wang; Di Zhang; Haohan Wang; Ping Lu; Xingyao Gao; Xing Sun; Xiaoshan Xu; R. Edwin García; Hou-Tong Chen; Xinghang Zhang; Haiyan Wang,2021,12,51,,39-47,,journal-article,,https://doi.org/10.1016/j.mattod.2021.10.024
