doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1088/1741-4326/aaad19,Helium self-trapping and diffusion behaviors in deformed 316L stainless steel exposed to high flux and low energy helium plasma,Yihao Gong; Shuoxue Jin; Te Zhu; Long Cheng; Xingzhong Cao; Li You; Guanghong Lu; Liping Guo; Baoyi Wang,2018,2,58,4,046011,,journal-article,,https://doi.org/10.1088/1741-4326/aaad19
10.1088/1741-4326/aab4aa,Observation of thermal quench induced by runaway electrons in magnetic perturbation,MunSeong Cheon; Dongcheol Seo; Junghee Kim,2018,3,58,4,046020,,journal-article,,https://doi.org/10.1088/1741-4326/aab4aa
10.1088/1741-4326/aab571,Influence of sub-surface damage evolution on low-energy-plasma-driven deuterium permeation through tungsten,Stefan Kapser; Martin Balden; Tiago Fiorini da Silva; Stefan Elgeti; Armin Manhard; Klaus Schmid; Thomas Schwarz-Selinger; Udo von Toussaint,2018,4,58,5,056027,,journal-article,,https://doi.org/10.1088/1741-4326/aab571
10.1088/1741-4326/aab96c,Effect of W self-implantation and He plasma exposure on early-stage defect and bubble formation in tungsten,M. Thompson; D. Drummond; J. Sullivan; R. Elliman; P. Kluth; N. Kirby; D. Riley; C.S. Corr,2018,4,58,6,066010,,journal-article,,https://doi.org/10.1088/1741-4326/aab96c
10.1088/1741-4326/aabcf9,Isotope effects on instabilities driven by ion temperature gradient and tungsten ions in tokamak plasmas,Yong Shen; J.Q. Dong; M.K. Han; A.P. Sun; Z.B. Shi,2018,5,58,7,076007,,journal-article,,https://doi.org/10.1088/1741-4326/aabcf9
10.1088/1741-4326/aabdb7,Effects of double-layer tungsten coatings on hydrogen isotopes plasma-driven and gas-driven permeation through F82H,Y. Xu; Y. Hirooka,2018,5,58,7,076005,,journal-article,,https://doi.org/10.1088/1741-4326/aabdb7
10.1088/1741-4326/aabdb0,Design of cemented tungsten carbide and boride-containing shields for a fusion power plant,C.G. Windsor; J.M. Marshall; J.G. Morgan; J. Fair; G.D.W. Smith; A. Rajczyk-Wryk; J.M. Tarragó,2018,5,58,7,076014,,journal-article,,https://doi.org/10.1088/1741-4326/aabdb0
10.1088/1741-4326/aac1c4,The new technological solution for the JT-60SA quench protection circuits,E. Gaio; A. Maistrello; L. Novello; M. Matsukawa; M. Perna; A. Ferro; K. Yamauchi; R. Piovan,2018,6,58,7,075001,,journal-article,,https://doi.org/10.1088/1741-4326/aac1c4
10.1088/1741-4326/aac72c,Surface modification of W–V alloy exposed to high heat flux helium neutral beams,Jun Wang; Chun Li; Yue Yuan; Henri Greuner; Long Cheng; Guang-Hong Lu,2018,7,58,9,096001,,journal-article,,https://doi.org/10.1088/1741-4326/aac72c
10.1088/1741-4326/aaca03,The effect of surface temperature on optical properties of molybdenum mirrors in the visible and near-infrared domains,Marco Minissale; Gebrehiwot Tesfay Zeweldi; Régis Bisson; Laurent Gallais,2018,7,58,9,096012,,journal-article,,https://doi.org/10.1088/1741-4326/aaca03
10.1088/1741-4326/aacca0,Activation of ITER materials in JET: nuclear characterisation experiments for the long-term irradiation station,L.W. Packer; P. Batistoni; S.C. Bradnam; B. Colling; S. Conroy; Z. Ghani; M.R. Gilbert; S. Jednorog; E. Łaszyńska; D. Leichtle; I. Lengar; J.W. Mietelski; R. Misiak; C.R. Nobs; M. Pillon; S. Popovichev; V. Radulović; I.E. Stamatelatos; T. Vasilopoulou; A. Wójcik-Gargula,2018,7,58,9,096013,,journal-article,,https://doi.org/10.1088/1741-4326/aacca0
