doi,title,authors,date,url,article_type,open_access,description,source,volume,issue,section
10.1038/s41467-024-51423-5,Nacre-like surface nanolaminates enhance fatigue resistance of pure titanium,Yong Zhang; Chenyun He; Shan-Tung Tu,2024-08-12,https://www.nature.com/articles/s41467-024-51423-5,,Yes,"Most strategies to improve fatigue resistance address either crack initiation or growth. Here, the authors design a gradient-structured Ti with nacre-like surface nanolaminates that increase fatigue performance by suppressing both stages of cracking",Nature Communications,,,
10.1038/s41467-024-51204-0,Lattice distortion enabling enhanced strength and plasticity in high entropy intermetallic alloy,H. Wang; P. Y. Yang; Y. Yang,2024-08-08,https://www.nature.com/articles/s41467-024-51204-0,,Yes,"Intermetallics are traditionally characterised by their inherent brittleness due to a lack of sufficient slip systems and the absence of strain hardening. Here authors show that a single-phase distorted high entropy B2 intermetallic alloy displays notable strength and plasticity at room temperature, along with stable plastic flow at high homologous temperatures.",Nature Communications,,,
10.1126/sciadv.ado2118,Role of slip in hydrogen-assisted crack initiation in Ni-based alloy 725,Mengying Liu; Lai Jiang; Michael J. Demkowicz,2024-07-19,https://doi.org/10.1126/sciadv.ado2118,journal-article,,"We conduct in situ tensile straining experiments to investigate the role of hydrogen and slip in crack initiation in nickel-based alloy 725. Our experiments reveal no tendency for hydrogen to enhance localized slip and no necessity of slip for crack initiation. We use electrochemical charging to introduce hydrogen into samples, melt extraction to measure hydrogen content, and digital image correlation to analyze localized plastic strains during in situ tensile tests in a scanning electron microscope. Cracks initiate both in regions with and without nearby localized slip. Moreover, the fraction",Science Advances,10,29,
10.1126/sciadv.adp1439,Individual and collective manipulation of multifunctional bimodal droplets in three dimensions,Mengmeng Sun; Bonan Sun; Myungjin Park; Shihao Yang; Yingdan Wu; Mingchao Zhang; Wenbin Kang; Jungwon Yoon (+2 more),2024-07-19,https://doi.org/10.1126/sciadv.adp1439,journal-article,,"Spatiotemporally controllable droplet manipulation is vital across numerous applications, particularly in miniature droplet robots known for their exceptional deformability. Despite notable advancements, current droplet control methods are predominantly limited to two-dimensional (2D) deformation and motion of an individual droplet, with minimal exploration of 3D manipulation and collective droplet behaviors. Here, we introduce a bimodal actuation strategy, merging magnetic and optical fields, for remote and programmable 3D guidance of individual ferrofluidic droplets and droplet collectives. ",Science Advances,10,29,
10.1038/s41467-024-50078-6,Periodic spinodal decomposition in double–strengthened medium–entropy alloy,Hyojin Park; Farahnaz Haftlang; Hyoung Seop Kim,2024-07-09,https://www.nature.com/articles/s41467-024-50078-6,,Yes,"Overcoming the strength-ductility trade-off in metallic alloys is a longstanding challenge. Here, the authors design a ferrous medium-entropy alloy to induce nanoscale spinodal decomposition, resulting in doubled strength without significant ductility loss.",Nature Communications,,,
10.1038/s41467-024-49829-2,How to catch a shear band and explain plasticity of metallic glasses with continuum mechanics,Oleksandr Glushko; Reinhard Pippan; Jürgen Eckert,2024-07-03,https://www.nature.com/articles/s41467-024-49829-2,,Yes,"The mechanisms of shear band initiation and propagation in amorphous metallic alloys is an open question of materials science. Here, the authors measure local strains around propagating shear bands and propose a model describing the plasticity of metallic glasses at different length scales.",Nature Communications,,,
10.1038/s41467-024-48693-4,"Additive manufacturing of an ultrastrong, deformable Al alloy with nanoscale intermetallics",Anyu Shang; Benjamin Stegman; Xinghang Zhang,2024-06-15,https://www.nature.com/articles/s41467-024-48693-4,,Yes,"Commercial high-strength Al alloys often suffer from cracking during additive manufacturing. Here, the authors present an additively manufactured, a strong and plastically deformable Al alloy with heterogeneous nanoscale intermetallics.",Nature Communications,,,
10.1126/sciadv.adn7553,Ultrastrong and ductile medium-entropy alloys via hierarchical ordering,Lei Gu; Yonghao Zhao; Yong Li; Rui Hou; Fei Liang; Ruisheng Zhang; Yinxing Wu; Yong Fan (+7 more),2024-05-31,https://doi.org/10.1126/sciadv.adn7553,journal-article,,"
            Long-range ordered phases in most high-entropy and medium-entropy alloys (HEAs/MEAs) exhibit poor ductility, stemming from their brittle nature of complex crystal structure with specific bonding state. Here, we propose a design strategy to severalfold strengthen a single-phase face-centered cubic (fcc) Ni
            2
            CoFeV MEA by introducing trigonal κ and cubic L1
            2
            intermetallic phases via hierarchical ordering. The tri-phase MEA has an ultrahigh tensile strength exceeding 1.6 GPa and an outstanding ductility of 30% at room temperature, whic",Science Advances,10,22,
10.1126/sciadv.adn1095,Full-color fiber light-emitting diodes based on perovskite quantum wires,Beitao Ren; Daquan Zhang; Xiao Qiu; Yucheng Ding; Qianpeng Zhang; Yu Fu; Jin-Feng Liao; Swapnadeep Poddar (+7 more),2024-05-17,https://doi.org/10.1126/sciadv.adn1095,journal-article,,"Fiber light-emitting diodes (Fi-LEDs), which can be used for wearable lighting and display devices, are one of the key components for fiber/textile electronics. However, there exist a number of impediments to overcome on device fabrication with fiber-like substrates, as well as on device encapsulations. Here, we uniformly grew all-inorganic perovskite quantum wire arrays by filling high-density alumina nanopores on the surface of Al fibers with a dip-coating process. With a two-step evaporation method to coat a surrounding transporting layer and semitransparent electrode, we successfully fabri",Science Advances,10,20,
10.1038/s41467-024-48439-2,The origin of exceptionally large ductility in molybdenum alloys dispersed with irregular-shaped La2O3 nano-particles,Yujie Chen; Yan Fang; Qian Yu,2024-05-15,https://www.nature.com/articles/s41467-024-48439-2,,Yes,"Application of Molybdenum alloys is hindered by reduced ductility at lower temperatures. Here, the author shows improved ductility in a Mo alloy with irregular-shaped rare-earth La2O3 nanoparticles achieved via rotary-swaging, attributed to the amorphization of the oxide-matrix interface.",Nature Communications,,,
10.1038/s41467-024-48435-6,Overcoming strength-ductility tradeoff with high pressure thermal treatment,Yao Tang; Haikuo Wang; Haofei Zhou,2024-05-10,https://www.nature.com/articles/s41467-024-48435-6,,Yes,"Conventional material processing methods often suffer by strength-ductility trade-off. Here, the authors show high-pressure and high-temperature treatment can transform an eutectic high entropy alloy to having a hierarchical microstructure with simultaneous enhancements of strength and ductility.",Nature Communications,,,
10.1126/sciadv.adl4842,"An ultralight, pulverization-free integrated anode toward lithium-less lithium metal batteries",Chao-Hui Zhang; Yu-Jie Guo; Shuang-Jie Tan; Yu-Hao Wang; Jun-Chen Guo; Yi-Fan Tian; Xu-Sheng Zhang; Bo-Zheng Liu (+4 more),2024-03-29,https://doi.org/10.1126/sciadv.adl4842,journal-article,,"
            The high-capacity advantage of lithium metal anode was compromised by common use of copper as the collector. Furthermore, lithium pulverization associated with “dead” Li accumulation and electrode cracking deteriorates the long-term cyclability of lithium metal batteries, especially under realistic test conditions. Here, we report an ultralight, integrated anode of polyimide-Ag/Li with dual anti-pulverization functionality. The silver layer was initially chemically bonded to the polyimide surface and then spontaneously diffused in Li solid solution and self-evolved into a fully li",Science Advances,10,13,
10.1038/s41467-024-45639-8,Intrinsic factors responsible for brittle versus ductile nature of refractory high-entropy alloys,Tomohito Tsuru; Shu Han; Haruyuki Inui,2024-02-24,https://www.nature.com/articles/s41467-024-45639-8,,Yes,"Poor ductility is a major drawback of otherwise promising refractory high-entropy alloys (RHEAs) for ultrahigh temperature applications. Here, the authors show how ductility can be enhanced by adding HCP elements to BCC RHEAs, which is a relatively simple way to optimize mechanical properties.",Nature Communications,,,
10.1038/s41467-024-45732-y,Manufacturing of high strength and high conductivity copper with laser powder bed fusion,Yingang Liu; Jingqi Zhang; Ming-Xing Zhang,2024-02-12,https://www.nature.com/articles/s41467-024-45732-y,,Yes,"Copper produced by laser additive manufacturing often faces challenges with either low strength or low conductivity. Here, the authors present a design strategy to introduce uniformly dispersed nanoprecipitates during solidification, enhancing the strength while maintaining high conductivity.",Nature Communications,,,
10.1126/sciadv.adn1186,Body-temperature softening electronic ink for additive manufacturing of transformative bioelectronics via direct writing,Do A Kwon; Simok Lee; Choong Yeon Kim; Inho Kang; Steve Park; Jae-Woong Jeong,2024,https://doi.org/10.1126/sciadv.adn1186,journal-article,,"Mechanically transformative electronic systems (TESs) built using gallium have emerged as an innovative class of electronics due to their ability to switch between rigid and flexible states, thus expanding the versatility of electronics. However, the challenges posed by gallium’s high surface tension and low viscosity have substantially hindered manufacturability, limiting high-resolution patterning of TESs. To address this challenge, we introduce a stiffness-tunable gallium-copper composite ink capable of direct ink write printing of intricate TES circuits, offering high-resolution (~50 micro",Science Advances,10,9,
10.1038/s41467-023-44056-7,Revealing the room temperature superplasticity in bulk recrystallized molybdenum,Wenshuai Chen; Xiyao Li; Zenglin Zhou,2023-12-14,https://www.nature.com/articles/s41467-023-44056-7,,Yes,"Body-centered cubic refractory metals are known to exhibit excellent high-temperature strength, but often suffer from brittle fracture. Here, the authors produce a bulk pure Mo with stable fine-grain structure after powder metallurgy, Y-type hot rolling and&#xa0;ultra-high temperature annealing (1000~1700 °C)&#xa0;that exhibits room temperature superplasticity.",Nature Communications,,,
10.1126/sciadv.adj1511,Origin of age softening in the refractory high-entropy alloys,Junliang Liu; Bo-Shiuan Li; Hazel Gardner; Yilun Gong; Fengxian Liu; Guanze He; Michael Moorehead; Calvin Parkin (+3 more),2023-12-08,https://doi.org/10.1126/sciadv.adj1511,journal-article,,"Refractory high-entropy alloys (RHEAs) are emerging materials with potential for use under extreme conditions. As a newly developed material system, a comprehensive understanding of their long-term stability under potential service temperatures remains to be established. This study examined a titanium-vanadium-niobium-tantalum alloy, a promising RHEA known for its superior high-temperature strength and room-temperature ductility. Using a combination of advanced analytical microscopies, Calculation of Phase Diagrams (CALPHAD) software, and nanoindentation, we investigated the evolution of its m",Science Advances,9,49,
10.1126/sciadv.adi5817,Ideal plasticity and shape memory of nanolamellar high-entropy alloys,Shuai Chen; Ping Liu; Qingxiang Pei; Zhi Gen Yu; Zachary H. Aitken; Wanghui Li; Zhaoxuan Wu; Rajarshi Banerjee (+3 more),2023-10-13,https://doi.org/10.1126/sciadv.adi5817,journal-article,,"
            Understanding the relationship among elemental compositions, nanolamellar microstructures, and mechanical properties enables the rational design of high-entropy alloys (HEAs). Here, we construct nanolamellar Al
            
              x
            
            CoCuFeNi HEAs with alternating high– and low–Al concentration layers and explore their mechanical properties using a combination of molecular dynamic simulation and density functional theory calculation. Our results show that the HEAs with nanolamellar structures exhibit ideal plastic behavior during uniaxial tensile loa",Science Advances,9,41,
10.1126/sciadv.adh9889,"An artificial neuromuscular junction for enhanced reflexes and oculomotor dynamics based on a ferroelectric CuInP
            2
            S
            6
            /GaN HEMT",Minseong Park; Jeong Yong Yang; Min Jae Yeom; Byungjoon Bae; Yongmin Baek; Geonwook Yoo; Kyusang Lee,2023-09-22,https://doi.org/10.1126/sciadv.adh9889,journal-article,,"
            A neuromuscular junction (NMJ) is a particularized synapse that activates muscle fibers for macro-motions, requiring more energy than computation. Emulating the NMJ is thus challenging owing to the need for both synaptic plasticity and high driving power to trigger motions. Here, we present an artificial NMJ using CuInP
            2
            S
            6
            (CIPS) as a gate dielectric integrated with an AlGaN/GaN-based high-electron mobility transistor (HEMT). The ferroelectricity of the CIPS is coupled with the two-dimensional electron gas channel in the HEMT, pro",Science Advances,9,38,
10.1038/s41467-023-41090-3,Nanoscale ductile fracture and associated atomistic mechanisms in a body-centered cubic refractory metal,Yan Lu; Yongchao Chen; Xiaodong Han,2023-09-08,https://www.nature.com/articles/s41467-023-41090-3,,Yes,"Understanding the competing modes of brittle versus ductile fracture is critical for preventing material failure. Here, the authors reveal the atomic-scale processes of crack growth in Mo crystals, providing mechanistic insights into the ductile to brittle transition in BCC refractory metals.",Nature Communications,,,
10.1038/s41467-023-40580-8,Bamboo-like dual-phase nanostructured copper composite strengthened by amorphous boron framework,Hang Lv; Xinxin Gao; Weitao Zheng,2023-08-10,https://www.nature.com/articles/s41467-023-40580-8,,Yes,"Achieving strength and toughness synergy via microstructure design is challenging in materials science. Here, the authors construct a bamboo-like dual-phase copper-boron structure that has unique mechanical response resulting in simultaneous increase in hardness, strength, and ductility.",Nature Communications,,,
10.1038/s41467-023-38885-9,Underlying factors determining grain morphologies in high-strength titanium alloys processed by additive manufacturing,Mohan S. K. K. Y. Nartu; Brian A. Welk; Hamish L. Fraser,2023-06-06,https://www.nature.com/articles/s41467-023-38885-9,,Yes,"Predictive scheme for Ti alloys with equiaxed microstructures is often limited by the methods based on growth restriction factors, Q. Here, the authors present a predictive solution based on the freezing range of alloys for columnar to equiaxed transition during fusion-based additive manufacturing.",Nature Communications,,,
10.1126/sciadv.add9780,Gradient nanostructured steel with superior tensile plasticity,Zhongxia Shang; Tianyi Sun; Jie Ding; Nicholas A. Richter; Nathan M. Heckman; Benjamin C. White; Brad L. Boyce; Khalid Hattar (+2 more),2023-06-02,https://doi.org/10.1126/sciadv.add9780,journal-article,,"Nanostructured metallic materials with abundant high-angle grain boundaries exhibit high strength and good radiation resistance. While the nanoscale grains induce high strength, they also degrade tensile ductility. We show that a gradient nanostructured ferritic steel exhibits simultaneous improvement in yield strength by 36% and uniform elongation by 50% compared to the homogenously structured counterpart. In situ tension studies coupled with electron backscattered diffraction analyses reveal intricate coordinated deformation mechanisms in the gradient structures. The outermost nanolaminate g",Science Advances,9,22,
10.1038/s41467-023-38531-4,Ultra-strong tungsten refractory high-entropy alloy via stepwise controllable coherent nanoprecipitations,Tong Li; Tianwei Liu; Lanhong Dai,2023-05-25,https://www.nature.com/articles/s41467-023-38531-4,,Yes,"Tungsten-based alloys with ultrahigh strength and ductility are in high demand for a wide range of applications, potentially for fusion reactors. Here the authors develop a tungsten refractory high-entropy alloy with high strength (~2.15 GPa) and sufficient ductility (~15%).",Nature Communications,,,
10.1126/sciadv.adf8602,Deformation and failure of the CrCoNi medium-entropy alloy subjected to extreme shock loading,Shiteng Zhao; Sheng Yin; Xiao Liang; Fuhua Cao; Qin Yu; Ruopeng Zhang; Lanhong Dai; Carlos J. Ruestes (+2 more),2023-05-05,https://doi.org/10.1126/sciadv.adf8602,journal-article,,"The extraordinary work hardening ability and fracture toughness of the face-centered cubic (fcc) high-entropy alloys render them ideal candidates for many structural applications. Here, the deformation and failure mechanisms of an equiatomic CrCoNi medium-entropyalloy (MEA) were investigated by powerful laser-driven shock experiments. Multiscale characterization demonstrates that profuse planar defects including stacking faults, nanotwins, and hexagonal nanolamella were generated during shock compression, forming a three-dimensional network. During shock release, the MEA fractured by strong te",Science Advances,9,18,
10.1038/s41467-023-38111-6,Theory-guided design of high-entropy alloys with enhanced strength-ductility synergy,Zongrui Pei; Shiteng Zhao; Michael C. Gao,2023-05-02,https://www.nature.com/articles/s41467-023-38111-6,,Yes,"There is a lack of guiding parameters to design metallic materials such as high-entropy alloys with strength-ductility synergy. Here, the authors propose such an effective parameter κ, the ratio of short-ranged interactions between closed-pack planes, experimentally validated by six alloys.",Nature Communications,,,
10.1038/s41467-023-37155-y,Trifunctional nanoprecipitates ductilize and toughen a strong laminated metastable titanium alloy,Chongle Zhang; Shuaiyang Liu; Jun Sun,2023-03-13,https://www.nature.com/articles/s41467-023-37155-y,,Yes,"Engineering metastability can enhance the ductility of alloys, but it often comes at an expense of relatively low yield strength. Here, the authors fabricate a Ti-based alloy with heterogeneous laminated structures and α-nanoprecipitates that enhance yield strength without sacrificing ductility.",Nature Communications,,,
10.1038/s41467-023-36030-0,Grain refinement in titanium prevents low temperature oxygen embrittlement,Yan Chong; Reza Gholizadeh; Nobuhiro Tsuji,2023-02-01,https://www.nature.com/articles/s41467-023-36030-0,,Yes,"Oxygen has long been considered as a detrimental impurity in pure titanium since it can severely deteriorate the ductility. Here, the authors propose a simple, yet effective strategy via grain refinement to solve this long-standing issue, while preserving its potential hardening effect.",Nature Communications,,,
10.1126/sciadv.add4644,Limpet teeth microstructure unites auxeticity with extreme strength and high stiffness,Sang Ho Oh; Jin-Kyung Kim; Yue Liu; Michael Wurmshuber; Xiang-Long Peng; Jinsol Seo; Jiwon Jeong; Zhen Wang (+10 more),2022-12-02,https://doi.org/10.1126/sciadv.add4644,journal-article,,"Materials displaying negative Poisson’s ratio, referred to as auxeticity, have been found in nature and created in engineering through various structural mechanisms. However, uniting auxeticity with high strength and high stiffness has been challenging. Here, combining in situ nanomechanical testing with microstructure-based modeling, we show that the leading part of limpet teeth successfully achieves this combination of properties through a unique microstructure consisting of an amorphous hydrated silica matrix embedded with bundles of single-crystal iron oxide hydroxide nanorods arranged in ",Science Advances,8,48,
10.1038/s41467-022-34628-4,Switching nanoprecipitates to resist hydrogen embrittlement in high-strength aluminum alloys,Yafei Wang; Bhupendra Sharma; Hiroyuki Toda,2022-11-18,https://www.nature.com/articles/s41467-022-34628-4,,Yes,"Hydrogen embrittlement limits the strengthening of aluminum alloys. Here, the authors propose the precipitate switching strategy to effectively control hydrogen embrittlement of high-strength aluminum alloys by utilizing the hydrogen trapping effect at T phase.",Nature Communications,,,
10.1126/sciadv.adc9394,Magnetic field–driven particle assembly and jamming for bistable memory and response plasticity,Xianhu Liu; Hongwei Tan; Carlo Rigoni; Teemu Hartikainen; Nazish Asghar; Sebastiaan van Dijken; Jaakko V. I. Timonen; Bo Peng (+1 more),2022-11-11,https://doi.org/10.1126/sciadv.adc9394,journal-article,,"
            Unlike classic synthetic stimulus-responsive and shape-memory materials, which remain limited to fixed responses, the responses of living systems dynamically adapt based on the repetition, intensity, and history of stimuli. Such plasticity is ubiquitous in biology, which is profoundly linked to memory and learning. Concepts thereof are searched for rudimentary forms of “intelligent materials.” Here, we show plasticity of electroconductivity in soft ferromagnetic nickel colloidal supraparticles with spiny surfaces, assembling/disassembling to granular conducting micropillars betwee",Science Advances,8,45,
10.1126/sciadv.abq7433,Maximum strength and dislocation patterning in multi–principal element alloys,Penghui Cao,2022-11-11,https://doi.org/10.1126/sciadv.abq7433,journal-article,,"Multi–principal element alloys (MPEAs) containing three or more components in high concentrations render a tunable chemical short-range order (SRO). Leveraging large-scale atomistic simulations, we probe the limit of Hall-Petch strengthening and deformation mechanisms in a model CrCoNi alloy and unravel chemical ordering effects. The presence of SRO appreciably increases the maximum strength and lowers the propensity for faulting and structure transformation, accompanied by intensification of planar slip and strain localization. Deformation grains exhibit notably different microstructures and ",Science Advances,8,45,
10.1038/s41467-022-33710-1,Hierarchical nano-martensite-engineered a low-cost ultra-strong and ductile titanium alloy,Chongle Zhang; Xiangyun Bao; Jun Sun,2022-10-10,https://www.nature.com/articles/s41467-022-33710-1,,Yes,It is challenging to obtain Ti alloys with ultrafine microstructure owing to the low thermal stability of crystallographic boundaries. Here the authors demonstrate a chemical boundary-based strategy to produce a hierarchical Ti alloy with nano-martensites that has excellent strength and ductility.,Nature Communications,,,
10.1038/s41467-022-33437-z,The influence of alloying on slip intermittency and the implications for dwell fatigue in titanium,Felicity F. Worsnop; Rachel E. Lim; David Dye,2022-10-10,https://www.nature.com/articles/s41467-022-33437-z,,Yes,It is important to understand dwell fatigue that has been implicated in several uncontained jet engine failures. Here the authors observe stress bursts due to slip intermittency in a Ti alloy using synchrotron x-ray diffraction microscopy to understand the roles of precipitates and trace oxygen.,Nature Communications,,,
10.1038/s41467-022-33188-x,Inhibiting weld cracking in high-strength aluminium alloys,Yanan Hu; Shengchuan Wu; Philip J. Withers,2022-10-03,https://www.nature.com/articles/s41467-022-33188-x,,Yes,"Fusion welding of 7000 series aluminum alloy is plagued by cracking from a fine equiaxed zone (FQZ). Here, the authors quantify key softening mechanisms, show the damage accumulation sequence, and propose a hybrid laser/arc welding strategy to mitigate the FQZ and increase weld strength&#xa0;and toughness.",Nature Communications,,,
10.1126/sciadv.abq1677,Scale-reconfigurable miniature ferrofluidic robots for negotiating sharply variable spaces,Xinjian Fan; Yihui Jiang; Mingtong Li; Yunfei Zhang; Chenyao Tian; Liyang Mao; Hui Xie; Lining Sun (+2 more),2022-09-16,https://doi.org/10.1126/sciadv.abq1677,journal-article,,"
            Magnetic miniature soft robots have shown great potential for facilitating biomedical applications by minimizing invasiveness and possible physical damage. However, researchers have mainly focused on fixed-size robots, with their active locomotion accessible only when the cross-sectional dimension of these confined spaces is comparable to that of the robot. Here, we realize the scale-reconfigurable miniature ferrofluidic robots (SMFRs) based on ferrofluid droplets and propose a series of control strategies for reconfiguring SMFR’s scale and deformation to achieve trans-scale motio",Science Advances,8,37,
10.1126/sciadv.abo7333,Design metastability in high-entropy alloys by tailoring unstable fault energies,Xin Wang; Rafael Rodriguez De Vecchis; Chenyang Li; Hanlei Zhang; Xiaobing Hu; Soumya Sridar; Yuankang Wang; Wei Chen (+1 more),2022-09-09,https://doi.org/10.1126/sciadv.abo7333,journal-article,,"Metastable alloys with transformation-/twinning-induced plasticity (TRIP/TWIP) can overcome the strength-ductility trade-off in structural materials. Originated from the development of traditional alloys, the intrinsic stacking fault energy (ISFE) has been applied to tailor TRIP/TWIP in high-entropy alloys (HEAs) but with limited quantitative success. Here, we demonstrate a strategy for designing metastable HEAs and validate its effectiveness by discovering seven alloys with experimentally observed metastability for TRIP/TWIP. We propose unstable fault energies as the more effective design met",Science Advances,8,36,
10.1126/sciadv.abp9096,Dynamic response of high-entropy alloys to ballistic impact,Yunqing Tang; D. Y. Li,2022-08-12,https://doi.org/10.1126/sciadv.abp9096,journal-article,,"High-entropy alloys (HEAs) are promising to provide effective antiballistic capability because of their superior mechanical properties. However, the twinning-active Cantor alloy is found less ballistic resistant, compared with its Mn-free companion. It is unclear how the HEAs resist ballistic impact and why Mn does not benefit the ballistic resistance. Here, we used molecular dynamics simulations to investigate the ballistic resistances of CrMnFeCoNi and CrFeCoNi and elucidate underlying mechanisms. It is shown that the alloys’ ballistic resistances dominantly benefit from active dislocations ",Science Advances,8,32,
10.1038/s41467-022-32444-4,Phase-selective recrystallization makes eutectic high-entropy alloys ultra-ductile,Qingfeng Wu; Feng He; Jincheng Wang,2022-08-10,https://www.nature.com/articles/s41467-022-32444-4,,Yes,The ever most widely used eutectic alloys often suffer from limited ductility. Here the authors propose a distinctive concept of phase-selective recrystallization to significantly improve their ductility and strength and pave the way for new applications of the widespread eutectic alloys.,Nature Communications,,,
10.1126/sciadv.abn4880,Ferroelectric/paraelectric superlattices for energy storage,Hugo Aramberri; Natalya S. Fedorova; Jorge Íñiguez,2022-08-05,https://doi.org/10.1126/sciadv.abn4880,journal-article,,"
            The polarization response of antiferroelectrics to electric fields is such that the materials can store large energy densities, which makes them promising candidates for energy storage applications in pulsed-power technologies. However, relatively few materials of this kind are known. Here, we consider ferroelectric/paraelectric superlattices as artificial electrostatically engineered antiferroelectrics. Specifically, using high-throughput second-principles calculations, we engineer PbTiO
            3
            /SrTiO
            3
            superlattices to optimize their en",Science Advances,8,31,
10.1126/sciadv.abm2249,Trace metal stoichiometry of dissolved organic matter in the Amazon plume,Martha Gledhill; Adrienne Hollister; Michael Seidel; Kechen Zhu; Eric P. Achterberg; Thorsten Dittmar; Andrea Koschinsky,2022-08-05,https://doi.org/10.1126/sciadv.abm2249,journal-article,,"
            Dissolved organic matter (DOM) is a distinct component of Earth’s hydrosphere and provides a link between the biogeochemical cycles of carbon, nutrients, and trace metals (TMs). Binding of TMs to DOM is thought to result in a TM pool with DOM-like biogeochemistry. Here, we determined elemental stoichiometries of aluminum, iron, copper, nickel, zinc, cobalt, and manganese associated with a fraction of the DOM pool isolated by solid-phase extraction at ambient pH (DOM
            SPE-amb
            ) from the Amazon plume. We found that the rank order of TM stoichiometry within the",Science Advances,8,31,
10.1126/sciadv.abo2068,Metal-carbide eutectics with multiprincipal elements make superrefractory alloys,Qinqin Wei; Xiandong Xu; Qiang Shen; Guoqiang Luo; Jian Zhang; Jia Li; Qihong Fang; Chain-Tsuan Liu (+3 more),2022-07-08,https://doi.org/10.1126/sciadv.abo2068,journal-article,,"Materials with excellent high-temperature strength are now sought for applications in hypersonics, fusion reactors, and aerospace technologies. Conventional alloys and eutectic multiprincipal-element alloys (MPEAs) exhibit insufficient strengths at high temperatures due to low melting points and microstructural instabilities. Here, we report a strategy to achieve exceptional high-temperature microstructural stability and strength by introducing eutectic carbide in a refractory MPEA. The synergistic strengthening effects from the multiprincipal-element mixing and strong dislocation blocking at ",Science Advances,8,27,
10.1038/s41467-022-31315-2,High stress twinning in a compositionally complex steel of very high stacking fault energy,Zhangwei Wang; Wenjun Lu; Zhiming Li,2022-06-23,https://www.nature.com/articles/s41467-022-31315-2,,Yes,"Mechanical twinning is difficult to trigger in face centered cubic alloys with high stacking fault energies (SFEs) under standard tensile loading. Here, the authors report high stress twinning in a bulk compositionally complex steel of very high SFE, enhancing the material’s mechanical performance.",Nature Communications,,,
10.1126/sciadv.abn3863,Geometrically engineered rigid island array for stretchable electronics capable of withstanding various deformation modes,Jun Chang Yang; Seungkyu Lee; Boo Soo Ma; Junmo Kim; Myoung Song; Su Yeong Kim; Da Won Kim; Taek-Soo Kim (+1 more),2022-06-03,https://doi.org/10.1126/sciadv.abn3863,journal-article,,"Integration of rigid components in soft polymer matrix is considered as the most feasible architecture to enable stretchable electronics. However, a method of suppressing cracks at the interface between soft and rigid materials due to excessive and repetitive deformations of various types remains a formidable challenge. Here, we geometrically engineered Ferris wheel–shaped islands (FWIs) capable of effectively suppressing crack propagation at the interface under various deformation modes (stretching, twisting, poking, and crumpling). The optimized FWIs have notable increased strain at failure ",Science Advances,8,22,
10.1038/s41467-022-30524-z,Anomalous size effect on yield strength enabled by compositional heterogeneity in high-entropy alloy nanoparticles,Jingyuan Yan; Sheng Yin; Qian Yu,2022-05-19,https://www.nature.com/articles/s41467-022-30524-z,,Yes,"Compositional heterogeneity in high-entropy alloys (HEAs) has gained lots of attention, but its relation with the properties remains vague. Here the authors report an anomalous size effect on strength by the compositional heterogeneity, which provides new insights in its connection to properties.",Nature Communications,,,
10.1126/sciadv.abj6738,Damage evolution during fracture by correlative microscopy with hyperspectral electron microscopy and laboratory-based microtomography,Peter M. Sarosi; Jevan Furmanski; William C. Reese; Donald L. Carpenter; Mikel A. Nittoli; Michael G. Myers; Nicole M. Callen; Thirumalai Neeraj,2022-04-08,https://doi.org/10.1126/sciadv.abj6738,journal-article,,"Damage evolution during fracture of metals is a critical factor in determining the reliability and integrity of the infrastructure that the society relies upon. However, experimental techniques for directly observing these phenomena have remained challenged. We have addressed this gap by developing a correlative microscopy framework combining high-resolution hyperspectral electron microscopy with laboratory x-ray microtomography (XMT) and applied it to study fracture mechanisms in a steel inclusion system. We observed damage nucleation and growth to be inhomogeneous and anisotropic. Fracture r",Science Advances,8,14,
10.1126/sciadv.abl3888,Mechanically reinforced biotubes for arterial replacement and arteriovenous grafting inspired by architectural engineering,Dengke Zhi; Quhan Cheng; Adam C. Midgley; Qiuying Zhang; Tingting Wei; Yi Li; Ting Wang; Tengzhi Ma (+9 more),2022-03-18,https://doi.org/10.1126/sciadv.abl3888,journal-article,,"There is a lack in clinically-suitable vascular grafts. Biotubes, prepared using in vivo tissue engineering, show potential for vascular regeneration. However, their mechanical strength is typically poor. Inspired by architectural design of steel fiber reinforcement of concrete for tunnel construction, poly(ε-caprolactone) (PCL) fiber skeletons (PSs) were fabricated by melt-spinning and heat treatment. The PSs were subcutaneously embedded to induce the assembly of host cells and extracellular matrix to obtain PS-reinforced biotubes (PBs). Heat-treated medium-fiber-angle PB (hMPB) demonstrated ",Science Advances,8,11,
10.1038/s41467-022-28688-9,Rejuvenation of plasticity via deformation graining in magnesium,Bo-Yu Liu; Zhen Zhang; Zhi-Wei Shan,2022-02-25,https://www.nature.com/articles/s41467-022-28688-9,,Yes,"Understanding deformation of Mg along the c-axis is important for wrought processing of Mg. Here the authors report deformation graining in submicron single crystal Mg where the initial single crystal evolves into ultrafine grains that rejuvenates dislocation activities, enabling large plasticity.",Nature Communications,,,
