doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.fusengdes.2016.01.074,Comparative evaluation of structural integrity for ITER blanket shield block based on SDC-IC and ASME code,Hee-Jin Shim; Min-Su Ha; Sa-Woong Kim; Hun-Chea Jung; Duck-Hoi Kim,2016,11,109-111,,789-794,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.01.074
10.1016/j.fusengdes.2016.08.003,Electrodeposition of tungsten coatings on molybdenum substrates and deuterium irradiation effect,Ziwei Lian; Xianqin Fang; Wenjia Han; Jiangang Yu; Zhanlei Wang; Ying Zhang; Kaigui Zhu,2016,11,112,,136-142,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.08.003
10.1016/j.fusengdes.2015.11.001,Integral experiment on molybdenum with DT neutrons at JAEA/FNS,Masayuki Ohta; Satoshi Sato; Saerom Kwon; Kentaro Ochiai; Chikara Konno,2016,11,109-111,,1644-1648,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.11.001
10.1016/j.fusengdes.2015.11.024,Effect of microstructural anisotropy on the mechanical properties of K-doped tungsten rods for plasma facing components,Shuhei Nogami; Wenhai Guan; Makoto Fukuda; Akira Hasegawa,2016,11,109-111,,1549-1553,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.11.024
10.1016/j.fusengdes.2016.03.003,The influence of crystal defects on the elastic properties of tungsten metals,Hongyan Chang; Zheng Huang; Shulong Wen; Ji ming Chen; Xiang Liu; Min Pan; Yong Zhao,2016,11,109-111,,321-325,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.03.003
10.1016/j.fusengdes.2016.03.034,Recent developments in IFE safety and tritium research and considerations for future nuclear fusion facilities,Susana Reyes; Tom Anklam; Wayne Meier; Patrick Campbell; Dave Babineau; James Becnel; Craig Taylor; Jim Coons,2016,11,109-111,,175-181,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.03.034
10.1016/j.fusengdes.2016.02.026,Validation and implementation of sandwich structure bottom plate to rib weld joint in the base section of ITER Cryostat,Rajnikant Prajapati; Anil K. Bhardwaj; Girish Gupta; Vaibhav Joshi; Mitul Patel; Jagrut Bhavsar; Vipul More; Mukesh Jindal; Avik Bhattacharya; Gaurav Jogi; Amit Palaliya; Saroj Jha; Manish Pandey; Pandurang Jadhav; Hemal Desai,2016,11,109-111,,652-655,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.02.026
10.1016/j.fusengdes.2016.02.104,Divertor tungsten tiles erosion in the region of the castellated gaps,Wanpeng Hu; Chaofeng Sang; Zhenyue Sun; Dezhen Wang,2016,11,109-111,,330-334,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.02.104
10.1016/j.fusengdes.2015.11.003,Evaluation of impacts of stress triaxiality on plastic deformability of RAFM steel using various types of tensile specimen,Taichiro Kato; Mitsuru Ohata; Shuhei Nogami; Hiroyasu Tanigawa,2016,11,109-111,,1631-1636,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.11.003
10.1016/j.fusengdes.2016.02.023,Status of the ITER tokamak nuclear shielding and radiological protection design,D. Leichtle; P.Y. Chaffard; J. Izquierdo; R. Juarez; R. Pampin; A. Portone,2016,11,109-111,,666-672,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.02.023
10.1016/j.fusengdes.2016.07.012,Microstructure and mechanical analysis of W/P91 steel HIP-joint with Ti interlayer,Ji-chao Wang; Wanjing Wang; Zhaoxuan Sun; Xingli Wang; Ran Wei; Chunyi Xie; Qiang Li; Guang-nan Luo,2016,11,112,,67-73,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.07.012
10.1016/j.fusengdes.2016.06.012,Computational study of the elastic modulus of single size pebble beds for fusion applications,Xiaoliang Wang,2016,11,112,,486-491,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.06.012
10.1016/j.fusengdes.2016.02.099,Performance of a dual-process PVD/PS tungsten coating structure under deuterium ion irradiation,Hyunmyung Kim; Ho Jung Lee; Sung Hwan Kim; Jae-Min Song; Changheui Jang,2016,11,109-111,,353-358,,journal-article,,https://doi.org/10.1016/j.fusengdes.2016.02.099
