doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.13182/fst00-1,Pressure Testing of Micro Balloons by Bursting,Mike Salazar,2000,,,,,,journal-article,,https://doi.org/10.13182/fst00-1
10.13182/fst01-a179,Electrical Energy Requirements for Accelerator and Fusion Neutrons,Daniel L. Jassby; John A. Schmidt,2001,7,40,1,52-55,,journal-article,,https://doi.org/10.13182/fst01-a179
10.13182/fst40-1-1,A Study of Options for the Deployment of Large Fusion Power Plants,John Sheffield; William Brown; Gary Garrett; James Hilley; Dennis McCloud; Joan Ogden; Thomas Shields; Lester Waganer,2001,7,40,1,1-36,,journal-article,,https://doi.org/10.13182/fst40-1-1
10.13182/fst01-a181,Interface Current Integral Transport Methods for the Calculation of Neutral Atom Transport in the Edge Region of Fusion Plasmas,Weston M. Stacey; John Mandrekas; Robert Rubilar,2001,7,40,1,66-78,,journal-article,,https://doi.org/10.13182/fst01-a181
10.13182/fst01-a183,Possible Explanation of<sup>4</sup>He Production in a Pd/D<sub>2</sub>System by the TNCF Model,Hideo Kozima; Masayuki Ohta; Mitsutaka Fujii; Kunihito Arai; Hitoshi Kudoh,2001,7,40,1,86-90,,journal-article,,https://doi.org/10.13182/fst01-a183
10.13182/fst01-a182,Experimental Investigation of Magnetohydrodynamic Effects Caused by a Manifold Circular Pipe,Zengyu Xu; Chuanjie Pan; Wenhao Wei,2001,7,40,1,79-85,,journal-article,,https://doi.org/10.13182/fst01-a182
10.13182/fst01-a180,Virtual Cathode in a Stationary Spherical Inertial Electrostatic Confinement,Hiromu Momota; George H. Miley,2001,7,40,1,56-65,,journal-article,,https://doi.org/10.13182/fst01-a180
10.13182/fst01-a184,Experimental Observation of Nuclear Reactions in Palladium and Uranium—Possible Explanation by Hydrex Mode,J. Dufour; D. Murat; X. Dufour; J. Foos,2001,7,40,1,91-106,,journal-article,,https://doi.org/10.13182/fst01-a184
10.13182/fst01-a178,Prediction of Performance in ITER-FEAT,Hiroshi Matsumoto; Pietro Barabaschi; Yoshiki Murakami,2001,7,40,1,37-51,,journal-article,,https://doi.org/10.13182/fst01-a178
10.13182/fst01-a190,Search for<sup>3</sup>He and<sup>4</sup>He in Arata-Style Palladium Cathodes II: Evidence for Tritium Production,W. Brian Clarke; Brian M. Oliver; Michael C. H. McKubre; Francis L. Tanzella; Paolo Tripodi,2001,9,40,2,152-167,,journal-article,,https://doi.org/10.13182/fst01-a190
10.13182/fst01-a187,Radioactivity Sputtered from Cooling-Pipe Materials into Coolant in the ITER Cooling System,Bangjiao Ye; Yoshimi Kasugai; Yujiro Ikeda; Yangmei Fan; Rongdian Han,2001,9,40,2,133-138,,journal-article,,https://doi.org/10.13182/fst01-a187
10.13182/fst01-a185,Possible Generation of Self-Magnetic Fields,Thomas J. Dolan,2001,9,40,2,119-124,,journal-article,,https://doi.org/10.13182/fst01-a185
10.13182/fst01-a186,Termination of Plasma Discharge by High-<i>Z</i>Liquid Impurity Jet Injection in a Tokamak Reactor,Yasuyuki Itoh; Yoshiki Murakami; Satoshi Nishio,2001,9,40,2,125-132,,journal-article,,https://doi.org/10.13182/fst01-a186
10.13182/fst01-a188,Theoretical Model of the Probability of Fusion between Deuterons Within Deformed Crystalline Lattices with Microcracks at Room Temperature,Fulvio Frisone,2001,9,40,2,139-146,,journal-article,,https://doi.org/10.13182/fst01-a188
10.13182/fst01-a189,Search for<sup>3</sup>He and<sup>4</sup>He in Arata-Style Palladium Cathodes I: A Negative Result,W. Brian Clarke,2001,9,40,2,147-151,,journal-article,,https://doi.org/10.13182/fst01-a189
10.13182/fst01-a193,Steady-State Amplifier at Megawatt Level for LHD ICRF Heating,Tetsuo Seki; Ryuhei Kumazawa; Takashi Mutoh; Fujio Shimpo; Goro Nomura; Tetsuo Watari; Kenji Saito; Yanping Zhao,2001,11,40,3,253-264,,journal-article,,https://doi.org/10.13182/fst01-a193
10.13182/fst01-a192,Directional Couplers-Polarimeters for High-Power Corrugated Waveguide Transmission Lines,A. Simonetto; G. Solari; F. Gandini; G. Granucci; V. Muzzini; C. Sozzi,2001,11,40,3,247-252,,journal-article,,https://doi.org/10.13182/fst01-a192
10.13182/fst01-a194,Thermal Shock Strength of Carbon-Carbon Composite by Laser Irradiation Technique Based on Shear Strength Criterion,Hong-Wei Li; Shigeyasu Amada; Shigeru Akiyama,2001,11,40,3,265-273,,journal-article,,https://doi.org/10.13182/fst01-a194
10.13182/fst01-a191,A 2-D Numerical Simulation of ITER-FEAT Disruptive Hot Plasma-Wall Interaction and Model Validation against Disruption Simulation Experiments,H. Würz; S. Pestchanyi; I. Landman; B. Bazylev; V. Tolkach; F. Kappler,2001,11,40,3,191-246,,journal-article,,https://doi.org/10.13182/fst01-a191
10.13182/fst02-4,Oxidative Decontamination of Tritiated Materials Employing Ozone Gas,Charles Gentile,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-4
10.13182/fst02-3,Developmental Study of Dry Decontamination for Tritiated Wastes,Takeshi Itoh,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-3
10.13182/fst02-18,Operation Results on Safety Systems of Tritium Process Laboratory in Japan Atomic Energy Research Institute,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-18
10.13182/fst02-1,Screen Test of Tritium Recovery from Stainless Steel Type 316,A. Perevezentsev,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-1
10.13182/fst02-13,Tritiated Water on Molecular Sieve Without Hydrogen Production,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-13
10.13182/fst02-6,Equilibrium Pressures over BeF2/LiF(Flibe) Molten Mixtures,Donald Olander,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-6
10.13182/fst02-a197,Pressure Sensitivity Studies of an Electrostatic Fusion Neutron Device Using a Particle-in-Cell Model,Blair P. Bromley,2002,1,41,1,24-31,,journal-article,,https://doi.org/10.13182/fst02-a197
10.13182/fst41-1-12,"A New Facility for Measurements of Three-Dimensional, Local Subcooled Flow Boiling Heat Flux and Related Critical Heat Flux for PFCs",Ronald D. Boyd; Penrose Cofie; Qing-Yuan Li; Ali A. Ekhlassi,2002,1,41,1,1-12,,journal-article,,https://doi.org/10.13182/fst41-1-12
10.13182/fst02-a199,Neutronic Characteristics of the Novosibirsk GDT-NS Fusion Material Irradiation Facility,Benjamin V. Robouch; Vadim I. Volosov; Aleksandr A. Ivanov; Yurii A. Tsidulko; Yurii N. Zouev; Luigi Ingrosso; Jan S. Brzosko,2002,1,41,1,44-52,,journal-article,,https://doi.org/10.13182/fst02-a199
10.13182/fst02-10,"Development of a Passively Cooled, Electrically Heated Hydride (PACE) Bed",,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-10
10.13182/fst02-7,Heat and Particle Control in JT-60U,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-7
10.13182/fst02-17,Demonstration of Very High Detritiation Factors with a Pilot-Scale CECE Facility,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-17
10.13182/fst02-15,Detritiation Processes Needed for JET Operation and Their Wider Applicability,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-15
10.13182/fst02-12,Isotopic Exchange for Metal Hydride Bed Disposal,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-12
10.13182/fst02-14,“Prometheus” Setup for Study of Tritium Superpermeation,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-14
10.13182/fst02-a201,Nuclear Physics for Nuclear Fusion,Xing Zhong Li,2002,1,41,1,63-68,,journal-article,,https://doi.org/10.13182/fst02-a201
10.13182/fst02-8,Monitoring Tritium Activity on Surfaces: Recent Developments,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-8
10.13182/fst02-a198,Detecting Dust on Plasma-Facing Components in a Next-Step Tokamak Using a Laser-Induced Breakdown Spectroscopy Technique,Gennadij T. Razdobarin; Gianfranco Federici; Vladimir M. Kozhevin; Eugeny E. Mukhin; Vladimir V. Semenov; Sergey Yu. Tolstyakov,2002,1,41,1,32-43,,journal-article,,https://doi.org/10.13182/fst02-a198
10.13182/fst02-5,Contamination of Stainless Steel Type 316 by Tritium,A. Perevezentsev,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-5
10.13182/fst02-a196,Magnetic Field Measurements inside a Converging Flux Conserver for Magnetized Target Fusion Applications,J. Martin Taccetti; Thomas P. Intrator; Frederick J. Wysocki; Katherine C. Forman; Donald G. Gale; Sean K. Coffey; James H. Degnan,2002,1,41,1,13-23,,journal-article,,https://doi.org/10.13182/fst02-a196
10.13182/fst02-11,Development of ZrCo Beds for ITER Tritium Storage and Delivery,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-11
10.13182/fst02-a200,Release Behavior of Tritium from Graphite Material,Kazunari Katayama; Masabumi Nishikawa,2002,1,41,1,53-62,,journal-article,,https://doi.org/10.13182/fst02-a200
10.13182/fst02-16,Isotope Exchange Reaction Between Gaseous Hydrogen and Tritium on Li2TiO3 Grain Surface,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-16
10.13182/fst02-9,Hydrogen Isotope Separation Factors on Palladium Alloy Membranes,,2002,,,,,,journal-article,,https://doi.org/10.13182/fst02-9
10.13182/fst02-a11963498,"Energy for Future Centuries: Will Fusion be an Inexhaustible, Safe and Clean Energy Source?",J. Ongena; G. Van Oost,2002,3,41,2,3-14,,journal-article,,https://doi.org/10.13182/fst02-a11963498
10.13182/fst02-a11963496,Preface Fifth Carolus Magnus Euro-Summer School on Plasma and Fusion Energy Physics,Andre Rogister,2002,3,41,2,vii-viii,,journal-article,,https://doi.org/10.13182/fst02-a11963496
10.13182/fst02-a205,The TCS Rotating Magnetic Field FRC Current-Drive Experiment,Alan L. Hoffman; Houyang Y. Guo; John T. Slough; Stephen J. Tobin; Louis S. Schrank; William A. Reass; Glen A. Wurden,2002,3,41,2,92-106,,journal-article,,https://doi.org/10.13182/fst02-a205
10.13182/fst02-a11963495,Comments,Nermin A. Uckan,2002,3,41,2,v-vi,,journal-article,,https://doi.org/10.13182/fst02-a11963495
10.13182/fst02-a202,Tests of the ITER Prototype Ion Cyclotron Antenna,David W. Swain; Richard H. Goulding; Philip M. Ryan,2002,3,41,2,69-76,,journal-article,,https://doi.org/10.13182/fst02-a202
10.13182/fst02-a11963497,Fifth Carolus Magnus Euro-Summer School on Plasma and Fusion Energy Physics,,2002,3,41,2,ix-ix,,journal-article,,https://doi.org/10.13182/fst02-a11963497
10.13182/fst02-a204,Alpha Particles Play a Relatively Minor Role in Magnetized Target Fusion Systems,D. D. Ryutov,2002,3,41,2,88-91,,journal-article,,https://doi.org/10.13182/fst02-a204
10.13182/fst02-a207,A Fusion Transmutation of Waste Reactor,W. M. Stacey; J. Mandrekas; E. A. Hoffman; G. P. Kessler; C. M. Kirby; A. N. Mauer; J. J. Noble; D. M. Stopp; D. S. Ulevich,2002,3,41,2,116-140,,journal-article,,https://doi.org/10.13182/fst02-a207
10.13182/fst02-a206,Designing Coils for Compact Stellarators,Dennis J. Strickler; Lee A. Berry; Steven P. Hirshman,2002,3,41,2,107-115,,journal-article,,https://doi.org/10.13182/fst02-a206
10.13182/fst02-a208,Equilibrium Pressures over BeF<sub>2</sub>/LiF(Flibe) Molten Mixtures,Donald R. Olander; Grant T. Fukuda; C. F. Baes,2002,3,41,2,141-150,,journal-article,,https://doi.org/10.13182/fst02-a208
10.13182/fst02-a203,Fast Thermal Shutdown of Tokamak Discharges Without Runaway Electron Avalanching,M. Bakhtiari; R. Yoshino; Y. Nishida,2002,3,41,2,77-87,,journal-article,,https://doi.org/10.13182/fst02-a203
10.13182/fst02-a22690,Isotopic Exchange for Metal Hydride Bed Disposal,J. E. Klein; J. R. Wermer,2002,5,41,3P2,776-781,,journal-article,,https://doi.org/10.13182/fst02-a22690
10.13182/fst02-a22654,Long Term Operation of the Jet Facilities’ Active Gas Handling System,P D Brennan,2002,5,41,3P2,578-582,,journal-article,,https://doi.org/10.13182/fst02-a22654
10.13182/fst02-a22702,Time Dependent Tritium Inventories of a Fusion Reactor,Isao Aoki; Satoshi Konishi; Ryouichi Kurihara; Yasunori Iwai; Masataka Nishi,2002,5,41,3P2,835-839,,journal-article,,https://doi.org/10.13182/fst02-a22702
10.13182/fst02-a22621,Application of Lichens for Assessment of Atmospheric Pollution by Tritium,A. V. Golubev; L. F. Belovodsky; V. N. Golubeva; T. A. Kosheleva; V. F. Kuznetsova; S. V. Mavrin; Kris Surano; William Hoppes,2002,5,41,3P2,409-412,,journal-article,,https://doi.org/10.13182/fst02-a22621
10.13182/fst02-a22625,Conversion Rate of HTO to OBT in Plants,M. Atarashi-Andoh; H. Amano; M. Ichimasa; Y. Ichimasa,2002,5,41,3P2,427-431,,journal-article,,https://doi.org/10.13182/fst02-a22625
10.13182/fst41-872,Hydrogen Isotopes Permeability in Eurofer 97 Martensitic Steel,A. Aiello; I. Ricapito; G. Benamati; R. Valentini,2002,5,41,3P2,872-876,,journal-article,,https://doi.org/10.13182/fst41-872
10.13182/fst02-a22717,Diffusion Coefficient of Tritium in Ni-Based Alloy,Kan Sakamoto; Masayasu Sugisaki,2002,5,41,3P2,912-914,,journal-article,,https://doi.org/10.13182/fst02-a22717
10.13182/fst02-a22643,The Analytical System of the ITER Tritium Fuel Processing Plant,R. Lässer; M. Glugla; P. Schuster; T. Hayashi; H. Yoshida,2002,5,41,3P2,520-524,,journal-article,,https://doi.org/10.13182/fst02-a22643
10.13182/fst02-a22682,Recovery of Tritium from Pharmaceutical Mixed Waste Liquids,W. T. Shmayda; R. D. Gallagher,2002,5,41,3P2,726-730,,journal-article,,https://doi.org/10.13182/fst02-a22682
10.13182/fst02-a22641,Separation of Tritium Compounds Using Porous VYCOR Glass Tube Wall,Masatoshi Ohta; Masami Fukui,2002,5,41,3P2,510-514,,journal-article,,https://doi.org/10.13182/fst02-a22641
10.13182/fst02-a22634,Studies of HTO Washout and Deposition in the Vicinity of Emission Source II: Model - Experiment Intercomparison,A. V. Golubev; M. M. Khabibulin; S. E. Misatyuk; Y. A. Belot; A. Y. Aleinikov; V. P. Kovalenko; S. V. Mavrin; V. N. Golubeva; I. I. Solomatin; T. A. Kosheleva,2002,5,41,3P2,474-477,,journal-article,,https://doi.org/10.13182/fst02-a22634
10.13182/fst02-a22761,Demonstration of Very High Detritiation Factors with a Pilot-Scale CECE Facility,W.R.C. Graham; A. E. Everatt; J.R.R. Tremblay; J. M. Miller; D. A. Spagnolo,2002,5,41,3P2,1137-1141,,journal-article,,https://doi.org/10.13182/fst02-a22761
