title,authors,date,doi,url,article_type,open_access,description
Upcycled high-strength aluminum alloys from scrap through solid-phase alloying,Tianhao Wang; Xiao Li; Jorge F. dos Santos,2024-12-10,10.1038/s41467-024-53062-2,https://www.nature.com/articles/s41467-024-53062-2,,Yes,The authors propose a scalable solid phase process to upcycle aluminum scrap into a high-strength alloy with 200% strength improvement. The process reduces energy consumption and carbon emissions while making customizable materials from waste by tailoring the chemical composition.
High performance plain carbon steels obtained through 3D-printing,Qiyang Tan; Haiwei Chang; Ming-Xing Zhang,2024-11-21,10.1038/s41467-024-54507-4,https://www.nature.com/articles/s41467-024-54507-4,,Yes,The study shows that 3D-printing enables plain carbon steels to achieve martensitic or bainitic microstructures with strength and toughness comparable to alloyed steels. It advocates for alloy simplification and sustainability in metal 3D-printing.
Spinel oxide enables high-temperature self-lubrication in superalloys,Zhengyu Zhang; Eitan Hershkovitz; Wenjun Cai,2024-11-20,10.1038/s41467-024-54482-w,https://www.nature.com/articles/s41467-024-54482-w,,Yes,"The authors develop an approach for enhancing the wear resistance and lubricity of metals at elevated temperatures of in oxidative environments, where traditional solid lubricants fail. By engineering surface oxidation in additively manufactured Inconel, they achieve low friction coefficients, between 0.10 and 0.32 at 600-900 °C, through the formation of a spinel-based oxide layer."
Isotope-dependent site occupation of hydrogen in epitaxial titanium hydride nanofilms,T. Ozawa; Y. Sugisawa; K. Fukutani,2024-11-14,10.1038/s41467-024-53838-6,https://www.nature.com/articles/s41467-024-53838-6,,Yes,The lattice location of hydrogen in titanium hydride nanofilms was identified by the channeling 15N-NRA mapping. H and D occupy the tetrahedral and octahedral sites differently because of the hydrogen Jahn-Teller effect and nuclear quantum effect.
In situ phase engineering during additive manufacturing enables high-performance soft-magnetic medium-entropy alloys,Zurui Cao; Pengcheng Zhang; Lin Liu,2024-11-11,10.1038/s41467-024-54133-0,https://www.nature.com/articles/s41467-024-54133-0,,Yes,"Soft magnetic materials are critical components in the electric transport and energy sectors, such that even minor improvements in their properties can yield vast savings in energy. Here, Cao, Zhang and coauthors demonstrate via an additive manufacturing based approach, a medium entropy alloy with superior magnetic properties."
Unveiling mechanisms and onset threshold of humping in high-speed laser welding,Zen-Hao Lai; Siguang Xu; Jingjing Li,2024-11-05,10.1038/s41467-024-53888-w,https://www.nature.com/articles/s41467-024-53888-w,,Yes,"Humping defects in high-speed laser welding of stainless steel are investigated here using in situ synchrotron&#xa0;X-ray imaging and fluid dynamics simulations. High welding speeds cause a short keyhole rear wall, high backward melt velocity, and long molten pool tail, leading to humping."
Modeling complex polycrystalline alloys using a Generative Adversarial Network enabled computational platform,Brayan Murgas; Joshua Stickel; Somnath Ghosh,2024-11-01,10.1038/s41467-024-53865-3,https://www.nature.com/articles/s41467-024-53865-3,,Yes,This paper integrates GANs with the DREAM.3D code to generate virtual microstructures for addressing structure-property relations in complex multi-modal cold spray formed microstructures. A robust multiscale model accounts for grains at two scales.
Near-theoretical strength and deformation stabilization achieved via grain boundary segregation and nano-clustering of solutes,Chang Liu; Jing Rao; En Ma,2024-10-28,10.1038/s41467-024-53349-4,https://www.nature.com/articles/s41467-024-53349-4,,Yes,"Grain boundary hardening and precipitation hardening are important mechanisms for enhancing the strength of metals. Here, these two effects are amplified simultaneously, by adding a suitable alloying element, leading to near-theoretical strength."
Direct observation of deformation and resistance to damage accumulation during shock loading of stabilized nanocrystalline Cu-Ta alloys,B. C. Hornbuckle; R. K. Koju; K. A. Darling,2024-10-23,10.1038/s41467-024-53142-3,https://www.nature.com/articles/s41467-024-53142-3,,Yes,"This study reveals that under 12 GPa shock loading, stabilized nanocrystalline Cu-3Ta can generate and reabsorb dislocations, enabling near-complete recovery without microstructural deterioration. This behavior contrasts with other known metals."
Multicomponent alloys designed to sinter,Yannick Naunheim; Christopher A. Schuh,2024-09-13,10.1038/s41467-024-52261-1,https://www.nature.com/articles/s41467-024-52261-1,,Yes,"In this work, the authors advance the viewpoint that powder alloys yield better processability and final properties, when they are designed from materials science principles to sinter quickly and with controlled microstructure evolution."
Interplay between disorder and electronic correlations in compositionally complex alloys,David Redka; Saleem Ayaz Khan; Ján Minár,2024-09-12,10.1038/s41467-024-52349-8,https://www.nature.com/articles/s41467-024-52349-8,,Yes,"Compositionally complex alloys have attracted significant attention recently, but the role of electronic correlations in these materials is unknown. Redka et al. study the CrMnFeCoNi alloy using a combination of experimental and theoretical techniques, revealing strong correlation effects far from the Fermi edge."
Quantitative matching of forensic evidence fragments using fracture surface topography and statistical learning,Geoffrey Z. Thompson; Bishoy Dawood; Ashraf F. Bastawros,2024-09-08,10.1038/s41467-024-51594-1,https://www.nature.com/articles/s41467-024-51594-1,,Yes,"The complex jagged trajectory of fractured surfaces of two pieces of forensic evidence is used to recognize a match by using comparative microscopy. Here the authors leveraged statistical analysis of the surface topography to provide a quantitative description of the fracture surface, enabling forensic article comparisons with quantified probabilities."
Comprehensive analysis of ordering in CoCrNi and CrNi2 alloys,Vinícius P. Bacurau; Pedro A. F. P. Moreira; Francisco G. Coury,2024-09-06,10.1038/s41467-024-52018-w,https://www.nature.com/articles/s41467-024-52018-w,,Yes,"Here authors use calorimetry to quantify chemical short-range order (CSRO) experimentally, in good agreement with atomistic simulations. Synchrotron in-situ tensile testing showed no effect of varied CSRO levels on mechanical properties."
