doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.13182/fst09-a8916,Mechanical Properties of Two Improved Eurofer ODS Steels Before and After Low Dose Neutron Irradiation at 300 °C,Enrico Lucon,2009,7,56,1,289-294,,journal-article,,https://doi.org/10.13182/fst09-a8916
10.13182/fst11-a12400,Annealing Effects on the Microstructure of Ferritic-Martensitic ODS-Eurofer Steel,R. A. Renzetti; H. R. Z. Sandim; A. F. Padilha; D. Raabe; R. Lindau; A. Möslang,2011,7,60,1T,22-26,,journal-article,,https://doi.org/10.13182/fst11-a12400
10.13182/fst11-a12380,Influence of Exposure to Pb-Li on Microstructure and Mechanical Properties of 9Cr-ODS and CLAM Steels,Y. F. Li; M. Kondo; T. Nagasaka; T. Muroga; V. Tsisar,2011,7,60,1,359-363,,journal-article,,https://doi.org/10.13182/fst11-a12380
10.13182/fst12-a13379,Annealing Behavior of RAFM ODS-Eurofer Steel,H. R. Z. Sandim; R. A. Renzetti; A. F. Padilha; A. Möslang; R. Lindau; D. Raabe,2012,2,61,2,136-140,,journal-article,,https://doi.org/10.13182/fst12-a13379
10.1080/15361055.2020.1712992,Tritium Permeation through Ce-ODS Steel,Yudai Urabe; Kenichi Hashizume; Teppei Otsuka; Kan Sakamoto,2020,4,76,4,392-397,,journal-article,,https://doi.org/10.1080/15361055.2020.1712992
10.1080/15361055.2026.2613593,"Effects of Neutron Irradiation from a
                    <sup>241</sup>
                    Am-Be Source on the Microstructure, Electrochemical, and Mechanical Properties of ODS Ferritic Alloys",Ana Rosa Salazar-Román; Fernando De La Torre Aguilar; Jorge López-Cuevas; Sebastian Diaz de la Torre; Enrique Martinez Quiroz; Carlos Rosendo Arganis Juarez; Fernando Mireles-Garcia; Jose Luis Pinedo-Vega,2026,2,,,1-13,,journal-article,,https://doi.org/10.1080/15361055.2026.2613593
